Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cbpBathroomCabinetOldTop,blocks,Container,,,Bathroom Cabinet,,Unterschrank,Vitrina,Armoire,Mobiletto,キャビネット,캐비닛,Szafa,Gabinete,Шкафчик,Dolap,橱柜,櫥櫃,Vitrina
cbpBookcaseBookless,blocks,Container,,,Bookcase,,Bücherregal,Estantería,Bibliothèque,Libreria,ブックケース,책장,Regał na książki,Estante de Livros,Книжный шкаф,Kitaplık,书架,書櫃,Estantería
cbpCoffeeMakerLeftOffset,blocks,Container,,,Coffee Maker,,Kaffeeautomat,Cafetera,Cafetière,Macchina del caffè,コーヒーメーカー,커피 메이커,Kawiarka,Cafeteira,Кофемашина,Kahve Makinesi,咖啡机,咖啡機,Cafetera
cbpCoffeeMakerRightOffset,blocks,Container,,,Coffee Maker,,Kaffeeautomat,Cafetera,Cafetière,Macchina del caffè,コーヒーメーカー,커피 메이커,Kawiarka,Cafeteira,Кофемашина,Kahve Makinesi,咖啡机,咖啡機,Cafetera
cbpComputerDeskTopPCLeftOffset,blocks,Block,,,Desktop PC,,Desktop-Computer,PC de escritorio,Ordinateur de bureau,Computer fisso,デスクトップパソコン,데스크톱 PC,Komputer stacjonarny,Computador de mesa,Стационарный компьютер,Masaüstü Bilgisayarı,台式电脑,桌面電腦,PC de escritorio
cbpComputerDeskTopPCRightOffset,blocks,Block,,,Desktop PC,,Desktop-Computer,PC de escritorio,Ordinateur de bureau,Computer fisso,デスクトップパソコン,데스크톱 PC,Komputer stacjonarny,Computador de mesa,Стационарный компьютер,Masaüstü Bilgisayarı,台式电脑,桌面電腦,PC de escritorio
cbpCookingPotOffset,blocks,Block,,,Cooking Pot (POI),,Kochtopf (Sehenswürdigkeit),Olla (PDI),Marmite (point d'intérêt),Pentola (PDI),鍋（POI）,요리용 냄비 (POI),Garnek (POI),Panela (PDT),Котелок (важный объект),Tencere (İlgi Alanı),烹饪锅（POI）,烹飪鍋（信息點）,Olla (PDI)
cbpDelosAndroidFemale,blocks,Container,,,Delos Android,,,,,,,,,,,,,,
cbpDelosAndroidMale,blocks,Container,,,Delos Android,,,,,,,,,,,,,,
cbpDelosStorageCrate,blocks,Container,,,Delos Storage Crate,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpDuffle01Empty,blocks,Container,,,Empty Duffle Bag,,Tasche,Bolso de viaje,Sac de marin,Borsone,ダッフルバッグ,더플 백,Worek marynarski,Bolsa de Viagem,Спортивная сумка,Silindir Çanta,行李袋,行李袋,Bolso de viaje
cbpLandMine50RandomHelper,blocks,Trap,,,Land Mine Helper 50 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMine10RandomHelper,blocks,Trap,,,Land Mine Helper 10 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineCandyTin50RandomHelper,blocks,Trap,,,Land Mine Helper 50 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineCandyTin10RandomHelper,blocks,Trap,,,Land Mine Helper 10 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineHubcap50RandomHelper,blocks,Trap,,,Land Mine Helper 50 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineHubcap10RandomHelper,blocks,Trap,,,Land Mine Helper 10 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineAirFilter50RandomHelper,blocks,Trap,,,Land Mine Helper 50 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpLandMineAirFilter10RandomHelper,blocks,Trap,,,Land Mine Helper 10 Percent,,Bonbondosen-Mine,Mina terrestre hecha con una lata,Mine terrestre en fer-blanc,Mina antiuomo - Scatola di latta,ブリキ地雷,깡통 지뢰,Mina lądowa w puszce,Mina Terrestre de Lata,Фугас из жестянки,Teneke Kara Mayını,罐头地雷,罐頭地雷,Mina terrestre hecha con una lata
cbpMannequinFemaleOffset,blocks,Block,,,Mannequin Female,,Mannequin – weiblich,Maniquí femenino,Mannequin femme,Manichino donna,マネキン(女性),마네킹 여성,Manekin — kobieta,Manequim feminino,Женский манекен,Manken - Kadın,女性人体模型,女性人形模特兒,Maniquí femenino
cbpMannequinMaleOffset,blocks,Block,,,Mannequin Male,,Mannequin – männlich,Maniquí masculino,Mannequin homme,Manichino uomo,マネキン(男性),마네킹 남성,Manekin — mężczyzna,Manequim masculino,Мужской манекен,Manken - Erkek,男性人体模型,男性人形模特兒,Maniquí masculino
cbpPlantedMushroomHarvestRandomHelper,blocks,Farming,,,= Mushroom = Random Helper,,,,,,,,,,,,,,
cbpPurse01Empty,blocks,Container,,,Empty Purse,,Handtasche,Bolso,Sac à main,Borsetta,パース,지갑,Portmonetka,Bolsa,Кошелек,Cüzdan,钱包,錢包,Bolso
cbpSignExitLightMidOffset,blocks,Light,,,Exit Sign,,Ausgangslicht,Cartel de salida,Panneau de sortie,Cartello di uscita,出口サイン,출구 표시,Znak drogi ewakuacyjnej,Placa de Saída,Знак «Выход»,Çıkış Tabelası,出口标志,出口標識,Cartel de salida
cbpSignExitLightLowOffset,blocks,Light,,,Exit Sign,,Ausgangslicht,Cartel de salida,Panneau de sortie,Cartello di uscita,出口サイン,출구 표시,Znak drogi ewakuacyjnej,Placa de Saída,Знак «Выход»,Çıkış Tabelası,出口标志,出口標識,Cartel de salida
cbpSignShopOpenMidOffset,blocks,Sign,,,Shop Sign: Open,,Ladenschild: Geöffnet,Cartel de tienda: Abierto,Enseigne de magasin : Ouvert,"Cartello negozio ""Aperto""",店舗看板:営業中,상점 간판: 영업 중,Szyld sklepu: Otwarte,Placa de Loja: Aberta,Табличка в магазине: «Открыто»,Dükkan Tabelası: Açık,商店标志：营业中,商店招牌：營
cbpSignShopOpenLowOffset,blocks,Sign,,,Shop Sign: Open,,Ladenschild: Geöffnet,Cartel de tienda: Abierto,Enseigne de magasin : Ouvert,"Cartello negozio ""Aperto""",店舗看板:営業中,상점 간판: 영업 중,Szyld sklepu: Otwarte,Placa de Loja: Aberta,Табличка в магазине: «Открыто»,Dükkan Tabelası: Açık,商店标志：营业中,商店招牌：營
cbpSportsBag01Empty,blocks,Container,,,Empty Rotting Sports Bag,,Verrottende Sporttasche,Bolsa deportiva podrida,Sac de sport en décomposition,Borsa sportiva putrefatta,腐りかけのスポーツバッグ,헤진 스포츠 가방,Gnijąca torba sportowa,Bolsa Esportiva Podre,Истлевшая спортивная сумка,Çürümüş Spor Çanta,腐烂的运动包,腐爛的運動包,Bolsa deportiva podrida
cbpSportsBag02Empty,blocks,Container,,,Empty Weathered Sports Bag,,Verwitterte Sporttasche,Bolsa deportiva erosionada,Sac de sport usé,Borsa sportiva consumata,色褪せたスポーツバッグ,오래된 스포츠 가방,Zszargana torba sportowa,Bolsa Esportiva Desgastada,Потрепанная спортивная сумка,Yıpranmış Spor Çanta,风化的运动包,褪色的運動包,Bolsa deportiva erosionada
cbpShippingCrateShamwayCube,blocks,Container,,,Shipping Crate Shamway Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateLabEquipmentCube,blocks,Container,,,Shipping Crate Lab Equipment Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateBookstoreCube,blocks,Container,,,Shipping Crate Bookstore Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateCarPartsCube,blocks,Container,,,Shipping Crate Car Parts Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateShotgunMessiahCube,blocks,Container,,,Shipping Crate Shotgun Messiah Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateWorkingStiffsCube,blocks,Container,,,Shipping Crate Working Stiffs Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateSavageCountryCube,blocks,Container,,,Shipping Crate Savage Country Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpShippingCrateMoPowerElectronicsCube,blocks,Container,,,Shipping Crate Mo Power Electronics Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericCube,blocks,Container,,,Storage Box Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericEmpty,blocks,Container,,,Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericAmmo,blocks,Container,,,Ammo Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericAmmoCube,blocks,Container,,,Ammo Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericBuilding,blocks,Container,,,Building Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericBuildingCube,blocks,Container,,,Building Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericExplosives,blocks,Container,,,Explosives Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericExplosivesCube,blocks,Container,,,Explosives Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericFood,blocks,Container,,,Food Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericFoodCube,blocks,Container,,,Food Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericMedical,blocks,Container,,,Medical Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericMedicalCube,blocks,Container,,,Medical Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericWeapons,blocks,Container,,,Weapons Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpStorageGenericWeaponsCube,blocks,Container,,,Weapons Storage Cube,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cbpSurvivorChest,blocks,Container,,,Survivor Chest,,Truhe,Cofre,Coffre,Forziere,チェスト,상자,Skrzynia,Baú,Сундук,Sandık,箱子,箱子,Cofre
cbpToasterOffset,blocks,Container,,,Toaster,,Toaster,Tostador,Grille-pain,Tostapane,トースター,토스터,Toster,Torradeira,Тостер,Tost Makinesi,烤面包机,烤麵包機,Tostador
cbpVendingMachine2Empty,blocks,Container,,,Empty Vending Machine,,Beschädigter Verkaufsautomat,Máquina expendedora rota,Distributeur automatique en panne,Distributore automatico rotto,壊れた自動販売機,망가진 자판가,Zepsuty automat sprzedający,Máquina de Vendas Quebrada,Сломанный торговый автомат,Kırık Otomat,损坏的
cbpTrappedChest,blocks,Trap,,,Trapped Chest,,,,,,,,,,,,,,
